,0,1
509,237.237,
510,237.2147,
511,237.2144,
512,237.1636,
513,237.1745,
514,237.2097,
515,237.168,
516,237.1632,
517,237.2019,
518,237.2635,
519,237.2775,
520,237.2724,
521,237.3121,
522,237.3451,
523,237.3138,
524,237.3331,
525,237.3777,
526,237.3653,
527,237.3425,
528,237.3227,
529,237.2974,
530,237.3391,
531,237.3249,
532,237.3381,
533,237.3751,
534,237.3676,
535,237.34099999999998,
536,237.3334,
537,237.2811,
538,237.2796,
539,237.2803,
540,237.2576,
541,237.2374,
542,237.2334,
543,237.2024,
544,237.1555,
545,237.1978,
546,237.1907,
547,237.142,
548,237.1454,
549,237.1269,
550,237.1559,
551,237.1717,
552,237.1629,
553,237.1207,
554,237.0958,
555,237.1292,
556,237.1581,
557,237.2059,
558,237.1833,
559,237.2041,
560,237.2101,
561,237.2032,
562,237.1492,
563,237.1328,
564,237.1047,
565,237.0565,
566,237.0349,
567,237.0212,
568,237.0329,
569,237.0177,
570,236.9685,
571,236.9827,
572,236.9923,
573,236.976,
574,236.957,
575,236.933,
576,236.9921,
577,237.0504,
578,236.9957,
579,237.0341,
580,237.0616,
581,237.0587,
582,237.1029,
583,237.1031,
584,237.1116,
585,237.1282,
586,237.1537,
587,237.2122,
588,237.2187,
589,237.2125,
590,237.218,
591,237.2015,
592,237.25,
593,237.21900000000002,
594,237.1855,
595,237.1369,
596,237.1681,
597,237.1614,
598,237.1349,
599,237.0975,
600,237.0876,
601,237.072,
602,237.0922,
603,237.1351,
604,237.1393,
605,237.1391,
606,237.1259,
607,237.0833,
608,237.0444,
609,237.0677,
610,237.0609,
611,237.0482,
612,237.0631,
613,237.042,
614,237.0386,
615,237.0449,
616,237.0524,
617,237.0459,
618,237.0515,
619,237.0283,
620,237.0125,
621,237.0567,
622,237.0381,
623,237.0398,
624,237.0075,
625,237.0496,
626,237.0469,
627,237.0467,
628,237.041,
629,237.0598,
630,237.0751,
631,237.1014,
632,237.0816,
633,237.1269,
634,237.149,
635,237.2276,
636,237.2439,
637,237.2718,
638,237.3134,
639,237.3211,
640,237.2866,
641,237.2815,
642,237.3535,
643,237.3207,
644,237.27900000000002,
645,237.264,
646,237.2996,
647,237.2899,
648,237.3129,
649,237.296,
650,237.3015,
651,237.2748,
652,237.2748,
653,237.2444,
654,237.2394,
655,237.2224,
656,237.2067,
657,237.1831,
658,237.1607,
659,237.2142,
660,237.2348,
661,237.1933,
662,237.2186,
663,237.1399,
664,237.1067,
665,237.109,
666,237.1789,
667,237.1955,
668,237.2197,
669,237.2458,
670,237.2413,
