,0
420,241.3959
421,241.3743
422,241.3935
423,241.3387
424,241.305
425,241.2953
426,241.2521
427,241.2561
428,241.2298
429,241.25
430,241.2707
431,241.2747
432,241.25900000000001
433,241.2529
434,241.2341
435,241.2002
436,241.2527
437,241.2633
438,241.2023
439,241.2368
440,241.2273
441,241.2388
442,241.2493
443,241.264
444,241.229
445,241.2301
446,241.1784
447,241.1854
448,241.15400000000002
449,241.1352
450,241.1351
451,241.0863
452,241.1141
453,241.1232
454,241.0853
455,241.102
456,241.0945
457,241.0577
458,241.0227
459,241.0493
460,241.0439
461,241.028
462,241.0248
463,241.0229
464,240.9924
465,240.9944
466,240.96900000000002
467,240.9601
468,241.0079
469,240.9422
470,241.0118
471,240.9771
472,240.9517
473,240.9581
474,240.9407
475,240.9918
476,240.9874
477,241.0037
478,241.0056
479,241.0008
480,241.0024
481,241.0204
482,240.9936
483,240.9913
484,240.9703
485,240.9459
486,240.8967
487,240.9252
488,240.9703
489,240.9919
490,240.9788
491,240.9931
492,240.9585
493,240.8943
494,240.9209
495,240.8971
496,240.8782
497,240.9094
498,240.935
499,240.9592
500,240.9645
501,240.9748
502,241.0054
503,240.9895
504,241.0214
505,241.0067
506,241.0045
507,240.9976
508,241.0038
509,240.9982
510,241.0188
511,241.0164
512,240.9846
513,241.0021
514,240.9911
515,240.9923
516,240.9813
517,241.0008
518,241.0265
519,241.0447
520,241.0549
521,241.0639
522,241.0923
523,241.1468
524,241.1311
525,241.1244
526,241.105
527,241.0953
528,241.1167
529,241.0939
530,241.1441
531,241.1636
532,241.1447
533,241.145
534,241.144
535,241.2106
536,241.1798
537,241.173
538,241.1249
539,241.1043
540,241.0791
541,241.0951
542,241.1007
543,241.1176
544,241.1456
545,241.1373
546,241.1527
547,241.1406
548,241.1643
549,241.1762
550,241.1869
551,241.1709
552,241.2051
553,241.2574
554,241.2685
555,241.2798
556,241.2229
557,241.236
558,241.2404
559,241.2393
560,241.2256
561,241.2533
562,241.2329
563,241.2759
564,241.2581
565,241.2254
566,241.2264
567,241.2228
568,241.2316
569,241.2331
570,241.2024
571,241.1974
572,241.1638
573,241.2099
574,241.253
575,241.2275
576,241.2656
577,241.271
578,241.2676
579,241.2841
580,241.3207
581,241.2651
582,241.247
583,241.2591
584,241.2759
585,241.2868
586,241.2699
587,241.2214
588,241.2212
589,241.2443
590,241.2258
591,241.2273
592,241.2141
593,241.1595
594,241.1579
595,241.1513
596,241.1341
597,241.15
598,241.1392
599,241.18900000000002
600,241.2406
601,241.2255
602,241.2863
603,241.3263
604,241.3247
605,241.3297
606,241.3067
607,241.2628
608,241.2265
609,241.2161
610,241.2055
611,241.2318
612,241.2358
613,241.2067
614,241.1974
615,241.1813
616,241.1849
617,241.1941
618,241.2097
619,241.1739
620,241.1646
621,241.1653
622,241.1742
623,241.1884
624,241.1732
625,241.12900000000002
626,241.1721
627,241.1724
628,241.1429
629,241.1869
630,241.1741
631,241.195
632,241.2283
633,241.2357
634,241.2457
635,241.2464
636,241.2499
637,241.2276
638,241.2244
639,241.2077
640,241.1856
641,241.1861
642,241.1919
643,241.2059
644,241.2149
645,241.1485
646,241.1456
647,241.1409
648,241.0909
649,241.082
650,241.0971
651,241.118
652,241.1115
653,241.0574
654,241.0266
655,241.0317
656,241.0134
657,240.9912
658,240.9873
659,240.9822
660,240.9734
661,240.9351
662,240.955
663,240.9583
664,240.9976
665,240.9559
666,240.9927
667,240.9763
668,240.9924
669,241.0489
670,241.0057
671,240.9348
672,240.9677
673,241.0141
674,240.984
675,240.9901
676,240.9568
677,240.9436
678,240.9638
679,241.0207
680,241.0425
681,241.05700000000002
682,241.0198
683,241.0724
684,241.03
685,241.0901
686,241.1025
687,241.1097
688,241.1074
689,241.0786
690,241.0854
691,241.1242
692,241.0769
693,241.0776
694,241.0614
695,241.0883
696,241.1315
697,241.1235
698,241.162
699,241.1416
700,241.138
701,241.1561
702,241.1035
703,241.1253
704,241.0969
705,241.0714
706,241.0792
707,241.1213
708,241.1436
709,241.1851
710,241.1764
711,241.2217
712,241.2127
713,241.2753
714,241.3092
715,241.3039
716,241.26
717,241.2897
718,241.3345
719,241.3539
720,241.3133
721,241.3077
722,241.2928
723,241.2636
724,241.2786
725,241.3044
726,241.3265
727,241.345
728,241.3672
729,241.418
730,241.4142
731,241.3835
732,241.3665
733,241.3931
734,241.3708
735,241.4066
736,241.4326
737,241.4437
738,241.4361
739,241.4703
740,241.4888
741,241.4815
742,241.5119
743,241.4741
744,241.4552
745,241.4994
746,241.5058
747,241.5344
748,241.5368
749,241.5179
750,241.5349
751,241.5515
752,241.5978
753,241.6081
754,241.5724
755,241.606
756,241.5904
757,241.5861
758,241.59900000000002
759,241.5864
760,241.6002
761,241.61
762,241.5751
763,241.5442
764,241.5745
765,241.5749
766,241.5972
767,241.6111
768,241.5796
769,241.5284
770,241.5077
771,241.5586
772,241.5122
773,241.5753
774,241.6036
775,241.6487
776,241.5946
777,241.6504
778,241.6844
779,241.6275
780,241.6713
781,241.6478
782,241.6352
783,241.6321
784,241.6155
785,241.5824
786,241.5284
787,241.4667
788,241.3979
789,241.3991
790,241.3674
791,241.3499
792,241.3083
793,241.2609
794,241.179
795,241.18400000000003
796,241.1687
797,241.1386
798,241.06
799,241.0834
800,241.0836
801,241.047
802,241.0661
803,241.0674
804,241.0615
805,241.0507
806,241.0376
807,241.00799999999998
808,241.0577
809,241.0414
810,241.0922
811,241.0751
812,241.0766
813,241.06799999999998
814,241.0607
815,241.0816
816,241.0773
817,241.0261
818,241.0718
819,241.0084
820,241.0386
821,240.9885
822,241.0121
823,241.0046
824,241.0079
825,240.9922
826,240.9517
827,240.9192
828,240.9299
829,240.9064
830,240.8983
831,240.8889
832,240.862
833,240.9265
834,240.9597
835,240.9286
836,240.9343
837,240.9301
838,240.9027
839,240.9191
840,240.9576
841,240.9758
842,240.9527
843,240.9893
844,241.0238
845,241.0105
846,240.9621
847,240.9685
848,240.9819
849,240.9391
850,240.9419
851,240.9516
852,240.9563
853,240.9513
854,240.9529
855,240.9633
856,240.9666
857,240.9798
858,240.9908
859,241.0389
860,241.065
861,241.0639
862,241.0687
863,241.0866
864,241.1076
865,241.0827
866,241.1258
867,241.1306
868,241.0914
869,241.1065
870,241.0916
871,241.0723
872,241.07299999999998
873,241.0976
874,241.0985
875,241.0766
876,241.0428
877,241.0486
878,241.0403
879,241.0643
880,241.0432
881,241.0451
882,241.0762
883,241.0784
884,241.0777
885,241.0562
886,241.0538
887,241.0756
888,241.0624
889,241.0579
890,241.08599999999998
891,241.0779
892,241.1056
893,241.0983
894,241.097
895,241.0535
896,241.0833
897,241.1072
898,241.0967
899,241.0427
900,241.0287
901,241.0952
902,241.1433
903,241.1108
904,241.102
905,241.1376
906,241.1384
907,241.165
908,241.2125
909,241.1909
910,241.2194
911,241.19400000000002
912,241.2415
913,241.2356
914,241.2068
915,241.25799999999998
916,241.2261
917,241.2091
918,241.18400000000003
919,241.19
920,241.1546
